项目,规格
输入,
额定输入电压, 220VAC
输入电压范围 , ±10%
频率范围,47-63 Hz
输入电流,≤15A
效率,≥91.5%
功率因数,≥0.99
输出,
额定输出电压,48VDC
输出电压范围,10-54.8V
额定输出电流,30A
最大输出功率,1800W
