项目,规格
输入,
额定输入电压, 220VAC
输入电压范围 , 90~264VAC
频率范围,47-63 Hz
输入电流,≤16A
输入线长,3m
输出,
额定输出电压,48V
输出电压范围,10-54.8V
额定输出电流,0~50A
输出功率,3000W
机械,
尺寸（长×宽×高）,400*440*450mm
重量,20kg
防护等级,IP20
